Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
08/06/2020 03:36:49,eSewa,Shopping,Electronics,Coffee maker,24899,Expense,NPR
20/09/2024 10:06:41,eSewa,Entertainment,Games,Bird watching guide book,1062,Expense,NPR
05/11/2024 21:25:22,Cash,Utilities,Internet,Ventrilo server hosting,5109,Expense,NPR
13/02/2021 06:08:38,Net Banking,Entertainment,Events,Crochet along subscription,3722,Expense,NPR
30/08/2020 04:41:31,IME Pay,Utilities,Water,Call recording service legal,2355,Expense,NPR
16/01/2022 07:28:14,Cash,Entertainment,Events,Aikido seminar weekend,4732,Expense,NPR
01/08/2022 00:25:02,Credit Card,Education,Books,Typing class fee,39071,Expense,NPR
26/11/2021 13:47:03,UPI,Utilities,Water,Satellite phone service bill (for remote areas),5455,Expense,NPR
03/09/2021 22:49:35,eSewa,Transportation,Fuel,Motorhome rental monthly,14736,Expense,NPR
11/09/2021 13:05:55,UPI,Shopping,Clothing,Microwave oven,59544,Expense,NPR
12/10/2023 14:33:46,Credit Card,Food,Dining Out,Herbal tea bags box,672,Expense,NPR
12/09/2020 16:15:30,eSewa,Utilities,Water,Electrical safety inspection,3330,Expense,NPR
08/06/2022 08:03:48,Net Banking,Shopping,Household,Travel pillow and accessories,83142,Expense,NPR
24/07/2024 20:28:28,Cash,Transportation,Bus,Silencer replacement cost,7469,Expense,NPR
16/02/2022 10:04:52,Debit Card,Transportation,Taxi,Filling air in tires,6463,Expense,NPR
08/09/2023 16:57:02,UPI,Education,Courses,Fee for an online tutoring service,13532,Expense,NPR
20/03/2020 18:53:34,Credit Card,Food,Dining Out,Amla (Indian gooseberry) products,688,Expense,NPR
24/11/2021 05:59:29,Net Banking,Entertainment,Games,Bollywood movie premiere ticket,2759,Expense,NPR
23/09/2021 19:15:58,Credit Card,Education,Books,Purchase of flashcards for studying,30290,Expense,NPR
11/04/2022 01:41:44,Credit Card,Transportation,Micro,Taxi fare with tip,2468,Expense,NPR
04/07/2021 19:08:32,Net Banking,Shopping,Clothing,Mixer grinder for the kitchen,83489,Expense,NPR
05/10/2020 05:27:30,Debit Card,Utilities,Internet,Landlord utility management service,2604,Expense,NPR
26/11/2023 21:50:37,UPI,Entertainment,Movies,OnlyFans subscription,6511,Expense,NPR
06/10/2024 16:05:46,UPI,Transportation,Fuel,Temperature gauge fix,3440,Expense,NPR
08/10/2022 23:19:31,Debit Card,Shopping,Household,"Skincare products (moisturizer, sunscreen)",79623,Expense,NPR
22/03/2024 02:15:54,Cash,Food,Groceries,Fish from a local fish market,3839,Expense,NPR
25/12/2022 03:12:55,Khalti,Transportation,Micro,Catalytic converter cleaning,3382,Expense,NPR
08/11/2024 00:04:16,eSewa,Entertainment,Events,Tickets for a circus or fair,2482,Expense,NPR
28/11/2024 02:47:23,Khalti,Education,Books,Typing class fee,47660,Expense,NPR
23/10/2022 05:57:38,Net Banking,Food,Beverages,Dhindo with ghee and pickle,139,Expense,NPR
04/10/2021 00:56:27,Net Banking,Utilities,Internet,Virtual power plant enrollment,7495,Expense,NPR
10/02/2023 12:32:34,Khalti,Food,Snacks,Butter and jam,4928,Expense,NPR
26/01/2020 23:25:47,eSewa,Transportation,Bus,Battery terminal cleaning,14883,Expense,NPR
22/01/2022 05:13:55,Khalti,Entertainment,Games,Tickets for a live podcast recording,1773,Expense,NPR
23/04/2021 06:22:45,Khalti,Shopping,Clothing,Online shopping from Daraz,16110,Expense,NPR
15/08/2023 13:33:26,Mobile Banking,Food,Dining Out,Yomari for Yomari Punhi festival,2540,Expense,NPR
21/05/2022 19:10:34,eSewa,Health,Lab Tests,Medical weight loss program,15218,Expense,NPR
13/05/2022 10:33:32,Credit Card,Transportation,Parking,Pathao delivery charge for a package,3892,Expense,NPR
08/12/2020 14:28:23,IME Pay,Education,Stationery,STEM kit subscription,36253,Expense,NPR
01/02/2021 14:36:00,Khalti,Food,Snacks,Frozen yogurt supplies,4521,Expense,NPR
07/06/2023 05:09:46,Khalti,Transportation,Micro,Puncture repair kit,11040,Expense,NPR
24/01/2024 16:49:59,Net Banking,Health,Lab Tests,Second opinion international,34759,Expense,NPR
12/05/2024 19:30:41,eSewa,Food,Snacks,Festival special ingredients,749,Expense,NPR
23/12/2022 08:53:01,eSewa,Health,Pharmacy,Gym membership for fitness,6218,Expense,NPR
09/06/2024 17:52:45,UPI,Food,Dining Out,Snacks for a road trip,3929,Expense,NPR
26/02/2022 02:53:56,Credit Card,Shopping,Personal Care,Buying a new car (down payment),36228,Expense,NPR
06/06/2022 02:56:46,Mobile Banking,Food,Dining Out,Barley flour health food,2032,Expense,NPR
19/01/2024 09:34:52,Debit Card,Education,Books,Typing class fee,17801,Expense,NPR
30/08/2022 08:26:46,Khalti,Entertainment,Games,Entry to a public swimming pool,9078,Expense,NPR
02/10/2022 02:35:13,Credit Card,Shopping,Personal Care,Magazine subscription,65311,Expense,NPR
09/04/2022 04:09:22,Cash,Entertainment,Movies,Mural painting participation,8204,Expense,NPR
19/04/2021 01:10:26,Mobile Banking,Utilities,Water,Radio license fee (if applicable),4657,Expense,NPR
10/08/2024 09:31:27,Debit Card,Transportation,Taxi,Electric scooter charging cost,12670,Expense,NPR
18/02/2024 05:21:09,Cash,Utilities,Water,Water purifier (RO) annual service,1094,Expense,NPR
31/08/2024 17:42:05,Credit Card,Entertainment,Movies,5K fun run charity,3885,Expense,NPR
08/09/2021 09:34:56,Cash,Transportation,Fuel,USB charging port installation,4285,Expense,NPR
14/02/2020 16:06:38,Credit Card,Education,Courses,Printing business cards for networking,23518,Expense,NPR
02/06/2022 00:41:05,eSewa,Utilities,Phone,Dedicated server hosting,2256,Expense,NPR
01/03/2024 06:28:40,UPI,Shopping,Electronics,Buying a new mobile phone,27385,Expense,NPR
13/10/2024 04:54:26,Net Banking,Transportation,Fuel,Fuel for a weekend bike ride,12801,Expense,NPR
07/02/2024 20:04:53,Net Banking,Utilities,Electricity,Backup service online unlimited,512,Expense,NPR
23/02/2024 05:02:23,IME Pay,Transportation,Parking,Fuel injection service,14441,Expense,NPR
01/06/2020 03:34:43,Net Banking,Utilities,Phone,Utility merger consultation fee,6675,Expense,NPR
10/11/2020 09:32:55,eSewa,Shopping,Electronics,Summer t-shirts and shorts,65260,Expense,NPR
15/03/2024 12:14:22,UPI,Education,Courses,Sports coaching at school,7495,Expense,NPR
18/08/2021 10:18:16,Credit Card,Health,Doctor Visit,Health savings account contribution,30680,Expense,NPR
26/06/2023 05:37:35,eSewa,Utilities,Internet,Monthly waste management fee,2498,Expense,NPR
26/12/2022 12:16:13,Khalti,Health,Pharmacy,Fertility medication expenses,34230,Expense,NPR
17/06/2024 21:42:48,Credit Card,Transportation,Micro,Camping equipment transport,453,Expense,NPR
18/02/2022 06:49:14,Net Banking,Entertainment,Movies,Buying a new TV for entertainment,3077,Expense,NPR
31/05/2020 14:31:37,UPI,Transportation,Fuel,Fan belt adjustment,7388,Expense,NPR
13/02/2024 16:46:37,Net Banking,Entertainment,Movies,Visiting a virtual reality arcade,5423,Expense,NPR
20/02/2022 16:31:48,eSewa,Food,Beverages,Chhana for sweets making,2285,Expense,NPR
21/02/2020 08:57:20,UPI,Education,Tuition,Summer camp fees for children,22648,Expense,NPR
20/02/2023 04:37:38,eSewa,Shopping,Clothing,Buying a new lock for the door,25832,Expense,NPR
04/04/2020 20:36:01,Cash,Shopping,Electronics,Singing bowl purchase,26509,Expense,NPR
26/04/2023 17:51:28,Net Banking,Food,Groceries,Bhuteko bhat (fried rice) Nepali style,454,Expense,NPR
07/11/2021 04:11:10,IME Pay,Utilities,Internet,Zoom phone system,3566,Expense,NPR
03/12/2022 02:52:17,Credit Card,Shopping,Clothing,Handbag or purse,27474,Expense,NPR
19/04/2021 02:58:54,Mobile Banking,Utilities,Phone,Electrical safety inspection,6681,Expense,NPR
19/06/2020 09:45:22,Cash,Entertainment,Movies,Sculpture park entry,7403,Expense,NPR
25/12/2023 06:23:13,Cash,Shopping,Household,Musical instrument purchase,9022,Expense,NPR
07/04/2024 00:57:40,Debit Card,Transportation,Taxi,Blood donation van,12744,Expense,NPR
18/09/2024 05:20:58,UPI,Entertainment,Movies,Science podcast support,6713,Expense,NPR
18/06/2023 17:58:45,UPI,Entertainment,Events,Planetarium membership annual,6154,Expense,NPR
27/09/2022 16:48:26,Mobile Banking,Shopping,Electronics,Makeup kit purchase,38078,Expense,NPR
12/06/2022 01:31:56,Khalti,Entertainment,Events,Buying merchandise of a favorite band or team,3158,Expense,NPR
08/04/2023 11:33:49,Credit Card,Entertainment,Events,Qigong healing session,2141,Expense,NPR
13/08/2023 22:12:43,eSewa,Education,Tuition,"Professional development course fee (e.g., PMP, CFA)",41809,Expense,NPR
31/01/2020 03:05:49,UPI,Food,Snacks,Sorbet fruit purees,4785,Expense,NPR
28/12/2020 08:23:44,IME Pay,Entertainment,Movies,Telescope eyepiece upgrade,4454,Expense,NPR
29/11/2023 16:21:06,Net Banking,Transportation,Parking,Local bus fare to Patan,11112,Expense,NPR
05/06/2021 03:06:06,Cash,Food,Dining Out,Choila with beaten rice in Patan,1458,Expense,NPR
28/02/2021 16:17:59,eSewa,Transportation,Micro,Short-term airport pickup parking,2603,Expense,NPR
07/11/2022 19:49:01,eSewa,Education,Stationery,"Entrance preparation class fee (e.g., for MBBS, Engineering)",4702,Expense,NPR
30/03/2023 16:22:14,Mobile Banking,Shopping,Personal Care,Return gifts for a party,47692,Expense,NPR
29/05/2022 10:18:54,Mobile Banking,Health,Health Insurance,Ergonomic keyboard mouse,29510,Expense,NPR
22/11/2023 14:47:41,Debit Card,Utilities,Electricity,Radon mitigation system,498,Expense,NPR
02/05/2023 00:14:19,Khalti,Shopping,Clothing,Pen drive (USB stick),11220,Expense,NPR
10/12/2021 22:00:30,UPI,Health,Health Insurance,Holter monitor testing,24899,Expense,NPR
24/06/2022 22:55:49,Debit Card,Transportation,Bus,Vintage car rental events,4970,Expense,NPR
11/02/2020 22:55:56,Cash,Utilities,Electricity,Buying a new water filter candle,4454,Expense,NPR
08/06/2024 04:22:14,eSewa,Health,Health Insurance,Blood test at a diagnostic lab,22148,Expense,NPR
09/06/2024 11:52:17,IME Pay,Utilities,Internet,Paying for a shared utility in a rented space,3504,Expense,NPR
19/10/2020 14:54:31,Credit Card,Shopping,Personal Care,Artificial flowers and plants,27816,Expense,NPR
26/04/2022 09:11:38,Cash,Utilities,Water,Replacing a fuse,1924,Expense,NPR
10/04/2021 02:49:28,eSewa,Utilities,Electricity,Iron removal filter system,4195,Expense,NPR
22/11/2021 08:58:49,Cash,Food,Groceries,Potatoes and onions bulk buy,1947,Expense,NPR
21/02/2023 11:26:55,Net Banking,Health,Doctor Visit,Pulse oximeter device,46373,Expense,NPR
17/10/2024 13:16:21,IME Pay,Utilities,Electricity,Mobile balance transfer,5402,Expense,NPR
14/08/2020 14:27:54,UPI,Entertainment,Events,Fishing permit fee,1074,Expense,NPR
24/04/2022 19:33:38,IME Pay,Transportation,Micro,Portal axle conversion,12294,Expense,NPR
05/05/2021 23:14:42,eSewa,Education,Courses,"Group study session expenses (snacks, coffee)",43567,Expense,NPR
07/04/2021 01:43:14,Khalti,Entertainment,Events,Attending a tech expo,1304,Expense,NPR
11/01/2020 05:37:37,UPI,Entertainment,Movies,Film making basics course,5268,Expense,NPR
05/02/2024 00:26:54,Mobile Banking,Entertainment,Games,Food photography workshop,2455,Expense,NPR
25/04/2024 19:45:35,Net Banking,Food,Dining Out,Grains like millet and buckwheat,3990,Expense,NPR
03/06/2024 01:47:12,Cash,Food,Dining Out,Spaghetti and pasta sauce,3494,Expense,NPR
10/04/2021 12:34:01,Credit Card,Entertainment,Movies,Kayak tour guided,1659,Expense,NPR
18/11/2022 06:46:07,Mobile Banking,Utilities,Phone,Smoke detector interconnected,4148,Expense,NPR
19/10/2022 09:39:19,Cash,Education,Courses,Buying reference books for a course,36892,Expense,NPR
02/11/2020 11:15:44,Cash,Utilities,Phone,Data pack for work-from-home,608,Expense,NPR
01/11/2024 10:34:01,UPI,Education,Books,IELTS/TOEFL preparation class fee,44780,Expense,NPR
25/07/2024 12:39:14,Debit Card,Entertainment,Movies,Trading card game booster,8964,Expense,NPR
04/07/2021 06:39:08,Cash,Education,Stationery,"Group study session expenses (snacks, coffee)",41004,Expense,NPR
04/03/2024 10:14:51,Khalti,Transportation,Taxi,Hiring a vehicle for a photoshoot,8902,Expense,NPR
07/02/2021 06:57:31,IME Pay,Health,Pharmacy,Organic acid testing,13063,Expense,NPR
06/08/2021 11:50:15,eSewa,Food,Snacks,Edible flowers garnish,1118,Expense,NPR
15/03/2022 16:08:08,Debit Card,Shopping,Electronics,Wall art or paintings,10058,Expense,NPR
13/11/2023 02:43:23,Mobile Banking,Food,Beverages,Gelato ingredients premium,593,Expense,NPR
17/07/2024 17:31:26,Debit Card,Utilities,Electricity,Monthly sewerage fee,2885,Expense,NPR
25/06/2020 20:45:40,Khalti,Health,Lab Tests,Calcium and Vitamin D supplements,44311,Expense,NPR
20/01/2023 05:47:46,Mobile Banking,Health,Doctor Visit,Podiatrist consultation for foot problems,40133,Expense,NPR
03/07/2021 05:30:18,IME Pay,Food,Snacks,Samay baji set for special occasion,1180,Expense,NPR
10/03/2021 04:39:10,UPI,Shopping,Electronics,Clothes from a store in New Road,3336,Expense,NPR
17/01/2024 23:18:24,Net Banking,Utilities,Gas,Gated community utility fees,3584,Expense,NPR
20/07/2024 10:41:03,Net Banking,Utilities,Electricity,Mobile banking annual fee,6223,Expense,NPR
16/11/2021 04:00:29,IME Pay,Food,Snacks,Cashew nuts and almonds,2803,Expense,NPR
16/09/2022 04:27:08,Mobile Banking,Entertainment,Streaming,Origin EA games,1448,Expense,NPR
29/12/2023 01:44:14,Net Banking,Health,Doctor Visit,Mastectomy procedure expenses,15381,Expense,NPR
17/02/2021 13:22:10,Khalti,Utilities,Water,Glass break sensor,2257,Expense,NPR
27/12/2024 05:55:06,UPI,Food,Groceries,Coffee at Karma Coffee,3646,Expense,NPR
07/06/2023 13:58:29,IME Pay,Health,Health Insurance,Addiction recovery house support,39412,Expense,NPR
04/09/2022 14:11:56,eSewa,Transportation,Micro,O2 sensor replacement,7474,Expense,NPR
02/01/2022 20:33:57,Khalti,Entertainment,Movies,"Subscription to a gaming service (e.g., PlayStation Plus)",5288,Expense,NPR
14/11/2024 10:38:01,Cash,Education,Courses,Computer hardware and networking course,35259,Expense,NPR
01/08/2022 22:40:19,Debit Card,Food,Dining Out,Shankarpali for Tihar,2559,Expense,NPR
06/11/2021 22:25:36,Debit Card,Education,Books,Correction fluid or tape,45656,Expense,NPR
06/04/2022 20:25:30,Khalti,Utilities,Water,Solar panel installation subsidy,3494,Expense,NPR
29/08/2020 17:27:42,Net Banking,Shopping,Electronics,Electric shaver or trimmer,26354,Expense,NPR
19/04/2023 00:13:37,IME Pay,Food,Dining Out,Kachila raw meat delicacy,2336,Expense,NPR
08/03/2021 00:04:07,UPI,Health,Health Insurance,Eczema treatment program,14042,Expense,NPR
19/06/2022 16:42:35,Net Banking,Shopping,Clothing,Scarf or muffler,58764,Expense,NPR
15/12/2023 16:59:06,Credit Card,Food,Dining Out,Aamras mango pulp,4396,Expense,NPR
08/02/2021 16:56:20,eSewa,Utilities,Water,Biometric lock for utilities,7777,Expense,NPR
05/06/2021 22:29:55,eSewa,Health,Doctor Visit,Needle exchange program support,32774,Expense,NPR
13/01/2022 18:58:32,Net Banking,Education,Courses,Lok Sewa Aayog (Public Service) preparation class,1145,Expense,NPR
10/02/2023 21:49:02,Net Banking,Transportation,Bus,Shared jeep to a trailhead,9688,Expense,NPR
03/07/2024 03:18:46,Net Banking,Food,Dining Out,Sesame seeds varieties,538,Expense,NPR
14/07/2020 16:29:55,UPI,Shopping,Personal Care,Phone cover and screen protector,98319,Expense,NPR
20/10/2024 13:53:47,UPI,Health,Pharmacy,DNR order documentation,26488,Expense,NPR
20/11/2023 19:39:09,eSewa,Health,Lab Tests,Medical weight loss program,10801,Expense,NPR
08/06/2020 16:59:10,IME Pay,Shopping,Electronics,"Cleaning supplies (detergent, disinfectant)",16927,Expense,NPR
02/10/2021 10:19:00,Khalti,Transportation,Taxi,Child safety seat rental,1094,Expense,NPR
06/04/2023 18:21:22,Debit Card,Health,Pharmacy,Intensive outpatient program,29795,Expense,NPR
19/04/2020 10:11:18,Credit Card,Entertainment,Movies,Dance studio rental,6532,Expense,NPR
28/02/2024 20:30:52,Cash,Shopping,Electronics,Scarf or muffler,60358,Expense,NPR
28/07/2022 07:17:52,Khalti,Shopping,Clothing,Installation fee for a new appliance,40354,Expense,NPR
20/10/2020 13:41:27,Cash,Transportation,Bus,Vaccination van service,3111,Expense,NPR
03/06/2022 05:57:28,UPI,Utilities,Electricity,High voltage testing service,7010,Expense,NPR
30/04/2023 03:13:40,Mobile Banking,Food,Snacks,Limbu tongba ingredients,434,Expense,NPR
17/07/2020 17:04:00,UPI,Utilities,Phone,Gas oven conversion,826,Expense,NPR
14/10/2022 22:00:42,Cash,Transportation,Fuel,Boat fare across Koshi river,3103,Expense,NPR
25/01/2024 21:18:02,Credit Card,Utilities,Gas,DishHome cable TV subscription,6747,Expense,NPR
20/03/2020 16:49:19,Cash,Health,Lab Tests,Glutathione IV therapy,26000,Expense,NPR
26/01/2022 12:59:29,Debit Card,Shopping,Clothing,Art and craft supplies for a hobby,74201,Expense,NPR
10/02/2022 10:39:09,Credit Card,Food,Snacks,Vegan alternatives purchase,977,Expense,NPR
16/02/2021 06:14:36,Debit Card,Shopping,Electronics,Bluetooth speaker,23397,Expense,NPR
25/01/2021 03:04:34,Credit Card,Transportation,Taxi,Power steering fluid top-up,5008,Expense,NPR
19/04/2020 22:45:28,Mobile Banking,Food,Snacks,Mustard oil for cooking,2394,Expense,NPR
23/07/2022 03:06:27,Mobile Banking,Food,Snacks,Millet flour for dhindo,973,Expense,NPR
30/11/2023 06:14:43,Cash,Food,Snacks,Raksi from local distillery,2532,Expense,NPR
21/01/2021 19:16:03,Credit Card,Entertainment,Games,Virtual golf session,2180,Expense,NPR
24/05/2020 09:19:26,Mobile Banking,Entertainment,Events,Trading card game booster,8811,Expense,NPR
08/06/2023 04:01:56,Khalti,Food,Snacks,Lunch at Bricks Cafe,2517,Expense,NPR
04/04/2023 20:14:25,eSewa,Food,Groceries,Besan laddu ingredients,4428,Expense,NPR
27/01/2024 19:00:47,IME Pay,Shopping,Personal Care,Handicrafts from Bhaktapur or Patan,24302,Expense,NPR
24/08/2020 21:35:55,eSewa,Food,Dining Out,Community feast donation,1837,Expense,NPR
26/06/2023 13:18:40,Net Banking,Utilities,Electricity,Call recording service legal,1959,Expense,NPR
03/04/2022 13:27:21,IME Pay,Transportation,Parking,Rock slider installation,10875,Expense,NPR
03/12/2022 18:07:37,Net Banking,Entertainment,Streaming,Online betting on a sports match,8804,Expense,NPR
28/08/2023 20:52:49,eSewa,Shopping,Clothing,Watch from a store in Durbar Marg,68319,Expense,NPR
01/11/2021 22:05:39,eSewa,Shopping,Clothing,Belt purchase,49223,Expense,NPR
28/04/2023 00:49:56,UPI,Education,Courses,Daycare or childcare fees,649,Expense,NPR
25/07/2023 00:04:07,Khalti,Shopping,Household,Newspaper purchase,75049,Expense,NPR
06/07/2024 06:10:36,Debit Card,Shopping,Clothing,Backpack for daily use or travel,32323,Expense,NPR
04/01/2021 15:55:00,Credit Card,Utilities,Water,Kitchen chimney installation,1709,Expense,NPR
03/07/2022 08:15:47,Credit Card,Shopping,Household,Makeup kit purchase,26549,Expense,NPR
12/10/2024 12:35:37,Mobile Banking,Shopping,Personal Care,Hearing aid batteries,71839,Expense,NPR
01/10/2023 21:37:13,eSewa,Shopping,Clothing,Shoes from a local brand store,87041,Expense,NPR
14/04/2024 16:20:04,Debit Card,Transportation,Micro,Jeep ride from Besisahar to Chame,2726,Expense,NPR
19/04/2020 16:53:24,UPI,Transportation,Bus,Taxi fare for an emergency hospital visit,2815,Expense,NPR
21/03/2021 18:20:39,Net Banking,Health,Health Insurance,Accident insurance supplemental,16130,Expense,NPR
26/11/2021 15:19:31,Debit Card,Entertainment,Games,Sailing lesson beginner,7051,Expense,NPR
19/06/2024 02:32:56,UPI,Entertainment,Movies,Tabletop RPG rulebook,1430,Expense,NPR
11/06/2022 12:39:29,Mobile Banking,Transportation,Fuel,Scooter parking at office building,827,Expense,NPR
22/12/2024 04:04:10,IME Pay,Entertainment,Games,Live screening of a sports match,827,Expense,NPR
17/08/2022 07:15:18,Debit Card,Entertainment,Movies,Sailing lesson beginner,8252,Expense,NPR
12/11/2022 20:53:27,Debit Card,Health,Pharmacy,Medical malpractice consultation,3120,Expense,NPR
30/01/2020 11:09:37,eSewa,Entertainment,Movies,Russian Culture Center screening,9592,Expense,NPR
09/01/2022 15:12:05,Net Banking,Transportation,Micro,Car AC gas refill,8168,Expense,NPR
28/05/2021 15:24:52,UPI,Food,Beverages,Dry fruits and nuts for snacks,4824,Expense,NPR
17/03/2021 19:14:56,UPI,Entertainment,Events,Upholstery workshop,5171,Expense,NPR
21/09/2022 00:50:43,Debit Card,Food,Beverages,Sorbet fruit purees,3283,Expense,NPR
19/02/2023 15:08:43,UPI,Health,Doctor Visit,Endoscopy or colonoscopy procedure,4731,Expense,NPR
13/02/2023 23:43:51,eSewa,Health,Health Insurance,Bone marrow registry fee,16809,Expense,NPR
27/03/2024 17:55:43,IME Pay,Education,Tuition,Payment for a school field trip,35909,Expense,NPR
01/06/2020 00:24:33,UPI,Shopping,Electronics,"Cleaning supplies (detergent, disinfectant)",35307,Expense,NPR
14/07/2023 14:00:48,IME Pay,Education,Courses,Contribution for a class party or picnic,29801,Expense,NPR
16/07/2020 21:59:06,UPI,Food,Dining Out,Mint tea fresh leaves,474,Expense,NPR
08/02/2023 05:32:00,Net Banking,Food,Snacks,Food expense for a trekking trip,1620,Expense,NPR
29/07/2021 14:11:51,Net Banking,Education,Tuition,"Grammar checker premium subscription (e.g., Grammarly)",10552,Expense,NPR
14/04/2024 12:00:39,Cash,Shopping,Personal Care,Trekking poles,24122,Expense,NPR
21/09/2023 21:14:33,eSewa,Entertainment,Events,Hot yoga membership,9750,Expense,NPR
12/09/2023 03:47:17,UPI,Education,Books,Fee for a school event or function,25888,Expense,NPR
27/02/2020 04:49:54,IME Pay,Entertainment,Streaming,Archery range pass,3396,Expense,NPR
17/06/2023 03:40:51,Net Banking,Health,Health Insurance,Pleural biopsy procedure,11802,Expense,NPR
26/09/2021 19:07:24,Khalti,Entertainment,Movies,Half marathon entry,194,Expense,NPR
20/11/2020 23:09:04,Credit Card,Utilities,Water,Utility pole relocation cost share,3331,Expense,NPR
04/03/2021 02:11:26,Mobile Banking,Utilities,Water,Solar panel cleaning service,1648,Expense,NPR
31/12/2020 07:52:48,Khalti,Shopping,Household,Webcam for online meetings,95699,Expense,NPR
11/08/2024 11:30:29,eSewa,Transportation,Bus,Funeral vehicle arrangement,7819,Expense,NPR
